estado,hoja,fila,tipo,unidad,matricula_original,matricula_nueva_o_opciones
COMPLETADA,"Parqueaderos","208","moto","Moto 34","280-21XXXX","280-226102"
COMPLETADA,"Parqueaderos","209","moto","Moto 35","280-21XXXX","280-226103"
COMPLETADA,"Parqueaderos","210","moto","Moto 36","280-21XXXX","280-226104"
COMPLETADA,"Parqueaderos","211","moto","Moto 37","280-21XXXX","280-226105"
COMPLETADA,"Parqueaderos","212","moto","Moto 38","280-21XXXX","280-226106"
COMPLETADA,"Parqueaderos","213","moto","Moto 39","280-21XXXX","280-226107"
COMPLETADA,"Parqueaderos","214","moto","Moto 40","280-21XXXX","280-226108"
COMPLETADA,"Parqueaderos","215","moto","Moto 41","280-21XXXX","280-226109"
COMPLETADA,"Parqueaderos","216","moto","Moto 42","280-21XXXX","280-226110"
COMPLETADA,"Parqueaderos","217","moto","Moto 43","280-21XXXX","280-226111"
COMPLETADA,"Parqueaderos","218","moto","Moto 55","280-21XXXX","280-226112"
COMPLETADA,"Parqueaderos","219","moto","Moto 56","280-21XXXX","280-226113"
COMPLETADA,"Parqueaderos","220","moto","Moto 57","280-21XXXX","280-226114"
COMPLETADA,"Parqueaderos","221","moto","Moto 58","280-21XXXX","280-226115"
COMPLETADA,"Parqueaderos","222","moto","Moto 59","280-21XXXX","280-226116"
COMPLETADA,"Parqueaderos","224","moto","Moto 61","280-21XXXX","280-226118"
COMPLETADA,"Parqueaderos","225","moto","Moto 62","280-21XXXX","280-226119"
COMPLETADA,"Parqueaderos","226","moto","Moto 63","280-21XXXX","280-226120"
COMPLETADA,"Parqueaderos","227","moto","Moto 64","280-21XXXX","280-226121"
COMPLETADA,"Parqueaderos","230","moto","Moto 67","280-21XXXX","280-226124"
COMPLETADA,"Parqueaderos","233","moto","Moto 70","280-21XXXX","280-226127"
COMPLETADA,"Parqueaderos","234","moto","Moto 71","280-21XXXX","280-226128"
COMPLETADA,"Parqueaderos","235","moto","Moto 72","280-21XXXX","280-226129"
COMPLETADA,"Parqueaderos","236","moto","Moto 73","280-21XXXX","280-226130"
COMPLETADA,"Parqueaderos","237","moto","Moto 74","280-21XXXX","280-226131"
COMPLETADA,"Parqueaderos","238","moto","Moto 75","280-21XXXX","280-226132"
COMPLETADA,"Parqueaderos","239","moto","Moto 76","280-21XXXX","280-226133"
AMBIGUA,"Parqueaderos","223","moto","Moto 60","280-21XXXX","280-226117 | 280-226125"
PENDIENTE,"Apartamentos","122","apto","111","280-21XXXX",""
PENDIENTE,"Apartamentos","123","apto","112","280-21XXXX",""
PENDIENTE,"Apartamentos","124","apto","113","280-21XXXX",""
PENDIENTE,"Apartamentos","125","apto","114","280-21XXXX",""
PENDIENTE,"Apartamentos","126","apto","121","280-21XXXX",""
PENDIENTE,"Apartamentos","127","apto","122","280-21XXXX",""
PENDIENTE,"Apartamentos","128","apto","123","280-21XXXX",""
PENDIENTE,"Apartamentos","129","apto","124","280-21XXXX",""
PENDIENTE,"Apartamentos","130","apto","131","280-21XXXX",""
PENDIENTE,"Apartamentos","131","apto","132","280-21XXXX",""
PENDIENTE,"Apartamentos","132","apto","133","280-21XXXX",""
PENDIENTE,"Apartamentos","133","apto","134","280-21XXXX",""
PENDIENTE,"Apartamentos","134","apto","141","280-21XXXX",""
PENDIENTE,"Apartamentos","135","apto","142","280-21XXXX",""
PENDIENTE,"Apartamentos","136","apto","143","280-21XXXX",""
PENDIENTE,"Apartamentos","137","apto","144","280-21XXXX",""
PENDIENTE,"Apartamentos","138","apto","151","280-21XXXX",""
PENDIENTE,"Apartamentos","139","apto","152","280-21XXXX",""
PENDIENTE,"Apartamentos","140","apto","153","280-21XXXX",""
PENDIENTE,"Apartamentos","141","apto","154","280-21XXXX",""
PENDIENTE,"Apartamentos","142","apto","161","280-21XXXX",""
PENDIENTE,"Apartamentos","143","apto","162","280-21XXXX",""
PENDIENTE,"Apartamentos","144","apto","163","280-21XXXX",""
PENDIENTE,"Apartamentos","145","apto","164","280-21XXXX",""
PENDIENTE,"Apartamentos","146","apto","171","280-21XXXX",""
PENDIENTE,"Apartamentos","147","apto","172","280-21XXXX",""
PENDIENTE,"Apartamentos","148","apto","173","280-21XXXX",""
PENDIENTE,"Apartamentos","149","apto","174","280-21XXXX",""
PENDIENTE,"Apartamentos","150","apto","181","280-21XXXX",""
PENDIENTE,"Apartamentos","151","apto","182","280-21XXXX",""
PENDIENTE,"Apartamentos","152","apto","183","280-21XXXX",""
PENDIENTE,"Apartamentos","153","apto","184","280-21XXXX",""
PENDIENTE,"Apartamentos","154","apto","191","280-21XXXX",""
PENDIENTE,"Apartamentos","155","apto","192","280-21XXXX",""
PENDIENTE,"Apartamentos","156","apto","193","280-21XXXX",""
PENDIENTE,"Apartamentos","157","apto","194","280-21XXXX",""
PENDIENTE,"Apartamentos","158","apto","1101","280-21XXXX",""
PENDIENTE,"Apartamentos","159","apto","1102","280-21XXXX",""
PENDIENTE,"Apartamentos","160","apto","1103","280-21XXXX",""
PENDIENTE,"Apartamentos","161","apto","1104","280-21XXXX",""
PENDIENTE,"Apartamentos","162","apto","1111","280-21XXXX",""
PENDIENTE,"Apartamentos","163","apto","1112","280-21XXXX",""
PENDIENTE,"Apartamentos","164","apto","1113","280-21XXXX",""
PENDIENTE,"Apartamentos","165","apto","1114","280-21XXXX",""
PENDIENTE,"Apartamentos","166","apto","1121","280-21XXXX",""
PENDIENTE,"Apartamentos","167","apto","1122","280-21XXXX",""
PENDIENTE,"Apartamentos","168","apto","1123","280-21XXXX",""
PENDIENTE,"Apartamentos","169","apto","1124","280-21XXXX",""
PENDIENTE,"Apartamentos","170","apto","1131","280-21XXXX",""
PENDIENTE,"Apartamentos","171","apto","1132","280-21XXXX",""
PENDIENTE,"Apartamentos","172","apto","1133","280-21XXXX",""
PENDIENTE,"Apartamentos","173","apto","1134","280-21XXXX",""
PENDIENTE,"Apartamentos","174","apto","1141","280-21XXXX",""
PENDIENTE,"Apartamentos","175","apto","1142","280-21XXXX",""
PENDIENTE,"Apartamentos","176","apto","1143","280-21XXXX",""
PENDIENTE,"Apartamentos","177","apto","1144","280-21XXXX",""
PENDIENTE,"Apartamentos","178","apto","211","280-21XXXX",""
PENDIENTE,"Apartamentos","179","apto","212","280-21XXXX",""
PENDIENTE,"Apartamentos","180","apto","213","280-21XXXX",""
PENDIENTE,"Apartamentos","181","apto","214","280-21XXXX",""
PENDIENTE,"Apartamentos","182","apto","221","280-21XXXX",""
PENDIENTE,"Apartamentos","183","apto","222","280-21XXXX",""
PENDIENTE,"Apartamentos","184","apto","223","280-21XXXX",""
PENDIENTE,"Apartamentos","185","apto","224","280-21XXXX",""
PENDIENTE,"Apartamentos","186","apto","231","280-21XXXX",""
PENDIENTE,"Apartamentos","187","apto","232","280-21XXXX",""
PENDIENTE,"Apartamentos","188","apto","233","280-21XXXX",""
PENDIENTE,"Apartamentos","189","apto","234","280-21XXXX",""
PENDIENTE,"Apartamentos","190","apto","241","280-21XXXX",""
PENDIENTE,"Apartamentos","191","apto","242","280-21XXXX",""
PENDIENTE,"Apartamentos","192","apto","243","280-21XXXX",""
PENDIENTE,"Apartamentos","193","apto","244","280-21XXXX",""
PENDIENTE,"Apartamentos","194","apto","251","280-21XXXX",""
PENDIENTE,"Apartamentos","195","apto","252","280-21XXXX",""
PENDIENTE,"Apartamentos","196","apto","253","280-21XXXX",""
PENDIENTE,"Apartamentos","197","apto","254","280-21XXXX",""
PENDIENTE,"Apartamentos","198","apto","261","280-21XXXX",""
PENDIENTE,"Apartamentos","199","apto","262","280-21XXXX",""
PENDIENTE,"Apartamentos","200","apto","263","280-21XXXX",""
PENDIENTE,"Apartamentos","201","apto","264","280-21XXXX",""
PENDIENTE,"Apartamentos","202","apto","271","280-21XXXX",""
PENDIENTE,"Apartamentos","203","apto","272","280-21XXXX",""
PENDIENTE,"Apartamentos","204","apto","273","280-21XXXX",""
PENDIENTE,"Apartamentos","205","apto","274","280-21XXXX",""
PENDIENTE,"Apartamentos","206","apto","281","280-21XXXX",""
PENDIENTE,"Apartamentos","207","apto","282","280-21XXXX",""
PENDIENTE,"Apartamentos","208","apto","283","280-21XXXX",""
PENDIENTE,"Apartamentos","209","apto","284","280-21XXXX",""
PENDIENTE,"Apartamentos","210","apto","291","280-21XXXX",""
PENDIENTE,"Apartamentos","211","apto","292","280-21XXXX",""
PENDIENTE,"Apartamentos","212","apto","293","280-21XXXX",""
PENDIENTE,"Apartamentos","213","apto","294","280-21XXXX",""
PENDIENTE,"Apartamentos","214","apto","2101","280-21XXXX",""
PENDIENTE,"Apartamentos","215","apto","2102","280-21XXXX",""
PENDIENTE,"Apartamentos","216","apto","2103","280-21XXXX",""
PENDIENTE,"Apartamentos","217","apto","2104","280-21XXXX",""
PENDIENTE,"Apartamentos","218","apto","2111","280-21XXXX",""
PENDIENTE,"Apartamentos","219","apto","2112","280-21XXXX",""
PENDIENTE,"Apartamentos","220","apto","2113","280-21XXXX",""
PENDIENTE,"Apartamentos","221","apto","2114","280-21XXXX",""
PENDIENTE,"Apartamentos","222","apto","2121","280-21XXXX",""
PENDIENTE,"Apartamentos","223","apto","2122","280-21XXXX",""
PENDIENTE,"Apartamentos","224","apto","2123","280-21XXXX",""
PENDIENTE,"Apartamentos","225","apto","2124","280-21XXXX",""
PENDIENTE,"Apartamentos","226","apto","2131","280-21XXXX",""
PENDIENTE,"Apartamentos","227","apto","2132","280-21XXXX",""
PENDIENTE,"Apartamentos","228","apto","2133","280-21XXXX",""
PENDIENTE,"Apartamentos","229","apto","2134","280-21XXXX",""
PENDIENTE,"Apartamentos","230","apto","2141","280-21XXXX",""
PENDIENTE,"Apartamentos","231","apto","2142","280-21XXXX",""
PENDIENTE,"Apartamentos","232","apto","2143","280-21XXXX",""
PENDIENTE,"Apartamentos","233","apto","2144","280-21XXXX",""
PENDIENTE,"Parqueaderos","228","moto","Moto 65","280-21XXXX",""
PENDIENTE,"Parqueaderos","229","moto","Moto 66","280-21XXXX",""
